employee_number,first_name,last_name,title,from_date,salary,emp_count
484271,Hauke,Pettey,Assistant Engineer,2000-01-27,59800,1
287608,Eberhardt,Picco,Assistant Engineer,2000-01-17,40000,2
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,54246,3
285643,Dulce,Rusterholz,Assistant Engineer,2000-01-07,64562,4
235659,Hideyuki,Lanzelotte,Assistant Engineer,1999-12-20,51011,5
469712,Yolla,Gargeya,Assistant Engineer,1999-12-06,47803,6
267904,Suebskul,Rande,Assistant Engineer,1999-11-30,52749,8
286534,Yonghoan,Eastman,Assistant Engineer,1999-11-30,51086,8
93261,Pintsang,Luca,Assistant Engineer,1999-11-20,44298,9
436156,Nectarios,Benaini,Assistant Engineer,1999-11-18,60657,10
470117,Hailing,Varman,Assistant Engineer,1999-11-17,40000,11
452837,Muzhong,Garnham,Assistant Engineer,1999-11-08,40360,12
471986,Mads,Ranst,Assistant Engineer,1999-10-30,46126,13
495277,Shaunak,Dalphin,Assistant Engineer,1999-10-10,40000,14
55861,Alois,Delgrande,Assistant Engineer,1999-10-07,40000,15
100927,Troy,Lovengreen,Assistant Engineer,1999-10-03,42027,16
233346,Serenella,Oehlmann,Assistant Engineer,1999-09-16,40000,17
83436,Ult,Serdy,Assistant Engineer,1999-09-07,53451,19
23691,Satoru,Stille,Assistant Engineer,1999-09-07,60076,19
234761,Lijia,Borstler,Assistant Engineer,1999-09-02,40000,20
487163,Przemyslawa,Walstra,Assistant Engineer,1999-08-23,51801,21
65167,Torsten,Borovoy,Assistant Engineer,1999-08-05,65330,22
419884,Heejo,Dichev,Assistant Engineer,1999-07-25,48985,23
269039,Lenore,Alpin,Assistant Engineer,1999-07-22,50571,24
467017,Kolar,Gente,Assistant Engineer,1999-07-20,40000,25
465751,Elzbieta,Thorensen,Assistant Engineer,1999-07-16,60179,26
288004,Saeed,Templeman,Assistant Engineer,1999-07-14,40000,27
467730,Miyeon,Eldridge,Assistant Engineer,1999-07-09,52180,28
205057,Mostafa,Usdin,Assistant Engineer,1999-07-03,40000,29
431666,Gregory,Sluis,Assistant Engineer,1999-06-23,40000,30
241126,Masamitsu,Francisci,Assistant Engineer,1999-06-22,87358,31
251541,Jessie,Leivant,Assistant Engineer,1999-06-19,58690,32
245886,Frederique,Herath,Assistant Engineer,1999-06-15,49132,33
474996,Saeed,Gelosh,Assistant Engineer,1999-06-05,40000,34
55552,Ohad,Schicker,Assistant Engineer,1999-05-31,40000,36
271148,Adel,Czaja,Assistant Engineer,1999-05-31,40000,36
241502,Mitchel,Hainaut,Assistant Engineer,1999-05-26,43481,37
235790,Shigehiro,Hofting,Assistant Engineer,1999-05-03,44937,38
212697,Yongmao,Raney,Assistant Engineer,1999-04-27,49640,39
287982,Stepehn,Akaboshi,Assistant Engineer,1999-04-16,41759,40
457191,Barun,Iacovou,Assistant Engineer,1999-03-24,40000,41
86217,Mari,Asrin,Assistant Engineer,1999-03-20,55211,42
436442,Mang,Takanami,Assistant Engineer,1999-03-18,62859,43
283840,Shuzo,Menyhert,Assistant Engineer,1999-03-16,40000,44
261700,Mamdouh,Gronowski,Assistant Engineer,1999-03-12,40000,45
97886,Mario,Chartres,Assistant Engineer,1999-03-08,40000,46
